,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1094006276,13/09/1999,Die magischen Heil- und Schutzmittel aus der belebten Natur : das Pflanzenreich,3496026065; 9783496026068,D16a
,,,,
1094647979,13/12/1999,Die magischen Heil- und Schutzmittel aus der belebten Natur : das Tierreich,3496026863; 9783496026860,D16a
,,,,
1092990941,03/03/1997,Cortison : die Geschichte eines Medikaments,3534800370; 9783534800377,D16a
,,,,
1093122405,03/03/1997,Insulin : der Kampf um eine Entdeckung,354834769X; 9783548347691,D16a
,,,,
1094684645,15/04/2003,"Vom Coffein zum Furosemid : Entdeckung, Erforschung und Entwicklung der Diuretika im 19. und 20. Jahrhundert",3631379013; 9783631379011,D16a
,,,,
1094082323,21/07/1998,Prospecting for drugs in ancient and medieval European texts : a scientific approach,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1093069557,03/03/1997,Cortison : die Geschichte des Cortisons und der Kortikosteroidtherapie : ein Beitrag zur Forschungs- und Therapiegeschichte heutiger Medizin,3760952380; 9783760952383,D16a
,,,,
1094073232,31/07/1997,Geschichte der Arzneimitteltherapie von Wolf-Dieter Müller-Jahncke und Christoph Friedrich,3769220382; 9783769220384,D16a
,,,,
1096622660,05/07/2012,Wörterbuch der Pharmazie.,3804706886; 9783804706880,D16a
,,,,
1093035492,03/03/1997,Verbandstoff-Geschichte : die Anfänge eines neuen Industriezweiges,3804710859; 9783804710856,D16a
,,,,
1093354800,03/03/1997,Über die Anfänge der Pharmaziegeschichtsschreibung : von Johannes Ruellius (1529) bis David Peter Hermann Schmidt (1835),,
,,,,
,,,,
,,,,
,,,,
1094707582,22/03/2004,"Die Arznei kommt vom Herrn, und der Apotheker bereitet sie : Biblische Rechtfertigung der Apothekerkunst im Protestantismus : Apotheken-Auslucht in Lemgo und Pharmako-Theologie",3804716857; 9783804716858,D16a
,,,,
1094686437,24/10/2002,"Steckt eine Allergie dahinter ? : die Industrialisierung von Arzneimittel-Entwicklung, -Herstellung und -Vermarktung am Beispiel der Antiallergika",3804719244; 9783804719248,D16a
,,,,
1094076069,17/02/1998,Krankheitsbilder im Liber de Plantis der Hildegard von Bingen (1098-1179) und im Speyerer Kräuterbuch (1456) : ein Beitrag zur medizinisch-pharmazeutischen Terminologie im Mittelalter,3876460832; 9783876460833; 3876460840; 9783876460840,D16a
,,,,
1096112372,28/03/2007,"Medizin der Erde : Legenden, Mythen, Heilanwendung und Betrachtung unserer Heilpflanzen",3880342261; 9783880342262,D16a
,,,,
1096156298,19/05/2010,"Roter Graben 10 : ausgewählte Kapitel aus der Pharmaziegeschichte, 1790-1870",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1094006090,26/07/1999,"Mercurius et Galenus : Wirtschafliche Aspekte und Taxwesen in der Vergangenheit der Pharmazie = Economie et taxes de médicaments dans la pharmacie du passé : Actes de la réunion de la Société suisse d'histoire de la pharmacie, Genève, 8 et 9 novembre 1997",3952075841; 9783952075845,D16a
,,,,
